comparison_id,benchmark_id,model_a,model_b,comparison_type,source_of_pair,prospective_or_posthoc,primary_or_secondary,expected_gap_class,feature_spaces,metrics,sample_budgets,family_id,status,blocker
null_reference_split,cifar10,reference_split_a,reference_split_b,null reference split versus reference split,prospective_protocol_not_results,prospective,primary,null,inception|clip|dinov2,rbf_mmd,1000|10000|50000,cvpr_primary_cifar10,planning_only,real inputs and frozen family required
same_checkpoint_seeds,cifar10,google_ddpm_seed_a,google_ddpm_seed_b,same model/checkpoint independent seeds,prospective_protocol_not_results,prospective,primary,near_null,inception|clip|dinov2,rbf_mmd,1000|10000|50000,cvpr_primary_cifar10,planning_only,real inputs and frozen family required
obvious_gap_corruption,cifar10,reference_clean,reference_severe_corruption,obvious-gap corruption control,prospective_protocol_not_results,prospective,primary,obvious,inception|clip|dinov2,rbf_mmd,1000|10000|50000,cvpr_primary_cifar10,planning_only,real inputs and frozen family required
controlled_degradation,cifar10,reference_mild_corruption,reference_severe_corruption,controlled degradation ladder,prospective_protocol_not_results,prospective,secondary,controlled,inception|clip|dinov2,rbf_mmd,1000|10000|50000,cvpr_primary_cifar10,planning_only,real inputs and frozen family required
sampler_variant,cifar10,same_model_sampler_a,same_model_sampler_b,same model different sampler,prospective_protocol_not_results,prospective,secondary,contestable,inception|clip|dinov2,rbf_mmd,1000|10000|50000,cvpr_primary_cifar10,planning_only,real inputs and frozen family required
checkpoint_variant,cifar10,google_ddpm_cifar10_candidate,frank_ddpm_ema_cifar10_candidate,same family different checkpoint,prospective_protocol_not_results,prospective,primary,contestable,inception|clip|dinov2,rbf_mmd,1000|10000|50000,cvpr_primary_cifar10,planning_only,real inputs and frozen family required
cross_family,cifar10,google_ddpm_cifar10_candidate,frank_cfm_cifar10_candidate,cross-family contestable pair,prospective_protocol_not_results,prospective,primary,contestable,inception|clip|dinov2,rbf_mmd,1000|10000|50000,cvpr_primary_cifar10,planning_only,real inputs and frozen family required
preprocess_sensitivity,cifar10,fixed_samples_preprocess_a,fixed_samples_preprocess_b,preprocessing sensitivity pair,prospective_protocol_not_results,prospective,secondary,unknown,inception|clip|dinov2,rbf_mmd,1000|10000|50000,cvpr_primary_cifar10,planning_only,real inputs and frozen family required
feature_disagreement_candidate,cifar10,google_ddpm_cifar10_candidate,frank_cfm_cifar10_candidate,feature-space disagreement candidate,prospective_protocol_not_results,prospective,secondary,unknown,inception|clip|dinov2,rbf_mmd,1000|10000|50000,cvpr_primary_cifar10,planning_only,real inputs and frozen family required
published_pair_placeholder,cifar10,TBD_PROSPECTIVE_MODEL_A,TBD_PROSPECTIVE_MODEL_B,real reported pair,prospective_protocol_not_results,prospective,secondary,unknown,inception|clip|dinov2,rbf_mmd,1000|10000|50000,cvpr_primary_cifar10,planning_only,real inputs and frozen family required
