reviewer,attack,severity,repair,artifact,completion_test,current_status,claim_allowed
sequential,"conditional-mean and reference law not established",fatal,"validate with-replacement reference plan plus A/B provenance and cache-v2 lineage","reference plan; manifests; v2 sidecars; assumption audit","same hashes bind metric reproduction and certificate",blocked_real_inputs,false
sequential,"betting grid presented as a confidence sequence",fatal,"retain diagnostic-only label or replace with proved continuum inversion","theory audit and tests","time_uniform=false and no directional decision",repaired,false
sequential,"global adaptive e-BH direction unsupported",fatal,"use Bonferroni directional CS as primary; keep e-BH fixed-time point-null only","multiplicity protocol","no e-BH ranking language passes firewall",repaired,false
evaluation,"direct Gao-Sun-Su overlap",high,"make sample-only optional-stopping audit delta explicit and run a fair closest-method comparison","novelty audit; baseline result","comparison protocol frozen and executed",blocked_execution,false
evaluation,"metric-agnostic overclaim",fatal,"scope claims to bounded RBF-MMD; FID/FD/KID descriptive","claim hierarchy; paper","firewall rejects metric-agnostic inference claim",repaired,false
evaluation,"CIFAR-only evidence",high,"execute the feasibility-gated second family and maximum-ceiling breadth if justified","benchmark registry; run artifacts","at least minimum study passes all gates",blocked_inputs,false
vision,"no consequential real result",fatal,"run controlled and contestable families; report outcome even if thesis fails","primary tables and figures","approved claim trace for every cell",blocked_execution,false
vision,"compute-savings claim is retrospective",high,"collect online stop and resource logs or say sample-use only","run ledger","measured immutable logs exist",blocked_execution,false
reproducibility,"historical layers obscure canonical path",medium,"publish one CLI, release manifest, and single-file handoff","engineering docs; release manifest","clean-room fast lane and documented pilot path pass",partially_repaired,false
reproducibility,"unsafe or ambiguous copied-back artifacts",fatal,"safe atomic import, immutable ZIP hash, run ID, append-only registry","artifact registry and importer tests","malicious/malformed fixtures fail and idempotent reuse passes",repaired_not_real_executed,false
reproducibility,"paper can ingest unsupported values",fatal,"claim-scoped firewall and evidence ledger","paper firewall report","known false-negative regression test passes",repaired,false
