n,dimension,dtype,chunk_size,paired_seconds,matrix_seconds_small_fixture_only,parity_max_abs_small_fixture_only,paired_extra_memory_upper_bound_bytes,full_gram_extra_memory_bytes,full_gram_to_paired_extra_memory_ratio,finite,pairwise_matrix_materialized,complexity,claim_allowed
2,2,float32_inputs_float64_accumulation,2,4.7375011490657926e-05,2.733399742282927e-05,0.0,80,32,0.4,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
2,16,float32_inputs_float64_accumulation,2,1.2125005014240742e-05,1.591700129210949e-05,0.0,528,32,0.06060606060606061,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
2,64,float32_inputs_float64_accumulation,2,1.1041003745049238e-05,1.2584001524373889e-05,0.0,2064,32,0.015503875968992248,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
2,768,float32_inputs_float64_accumulation,2,1.6667007002979517e-05,1.591700129210949e-05,0.0,24592,32,0.0013012361743656475,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
2,2048,float32_inputs_float64_accumulation,2,2.3250002413988113e-05,3.170801210217178e-05,0.0,65552,32,0.000488162069807176,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
10,2,float32_inputs_float64_accumulation,10,1.0750023648142815e-05,1.2833974324166775e-05,0.0,400,800,2.0,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
10,16,float32_inputs_float64_accumulation,10,1.058299676515162e-05,1.291598891839385e-05,1.5246593050577406e-20,2640,800,0.30303030303030304,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
10,64,float32_inputs_float64_accumulation,10,9.99998883344233e-06,1.8207996618002653e-05,4.114230227878006e-37,10320,800,0.07751937984496124,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
10,768,float32_inputs_float64_accumulation,10,2.3167027393355966e-05,2.883299021050334e-05,0.0,122960,800,0.006506180871828237,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
10,2048,float32_inputs_float64_accumulation,10,4.808299127034843e-05,4.716601688414812e-05,0.0,327760,800,0.00244081034903588,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
100,2,float32_inputs_float64_accumulation,100,1.0415998985990882e-05,4.629101022146642e-05,1.1102230246251565e-16,4000,80000,20.0,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
100,16,float32_inputs_float64_accumulation,100,1.0666000889614224e-05,5.2332994528114796e-05,3.2526065174565133e-18,26400,80000,3.0303030303030303,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
100,64,float32_inputs_float64_accumulation,100,1.5833007637411356e-05,6.129199755378067e-05,3.0393581934861066e-34,103200,80000,0.7751937984496124,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
100,768,float32_inputs_float64_accumulation,100,0.00034154101740568876,0.0003189590061083436,4.903279558151677e-302,1229600,80000,0.06506180871828236,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
100,2048,float32_inputs_float64_accumulation,100,0.0004888749972451478,0.0011106659949291497,0.0,3277600,80000,0.0244081034903588,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
1000,2,float32_inputs_float64_accumulation,512,3.904200275428593e-05,,,24384,8000000,328.0839895013123,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
1000,16,float32_inputs_float64_accumulation,512,5.5042008170858026e-05,,,139072,8000000,57.52416014726185,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
1000,64,float32_inputs_float64_accumulation,512,0.00014516699593514204,,,532288,8000000,15.029457737164844,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
1000,768,float32_inputs_float64_accumulation,512,0.001714166981400922,,,6299456,8000000,1.2699509290960997,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
1000,2048,float32_inputs_float64_accumulation,512,0.00508720800280571,,,16785216,8000000,0.47660989289622485,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
2000,64,float32_inputs_float64_accumulation,512,0.00029858300695195794,,,540288,32000000,59.227671167969675,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
2000,768,float32_inputs_float64_accumulation,512,0.0036972919770050794,,,6307456,32000000,5.0733607971264485,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
2000,2048,float32_inputs_float64_accumulation,512,0.010055499995360151,,,16793216,32000000,1.905531376479645,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
4000,64,float32_inputs_float64_accumulation,512,0.00042483300785534084,,,556288,128000000,230.0966405890474,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
4000,768,float32_inputs_float64_accumulation,512,0.007191334007075056,,,6323456,128000000,20.242095461722197,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
4000,2048,float32_inputs_float64_accumulation,512,0.022498333011753857,,,16809216,128000000,7.614870318758472,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
8000,64,float32_inputs_float64_accumulation,512,0.0007167919829953462,,,588288,512000000,870.3220191470845,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
8000,768,float32_inputs_float64_accumulation,512,0.012293290987145156,,,6355456,512000000,80.5607024893257,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
8000,2048,float32_inputs_float64_accumulation,512,0.03746741698705591,,,16841216,512000000,30.401605204754812,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
10000,64,float32_inputs_float64_accumulation,512,0.0009379579860251397,,,604288,800000000,1323.8720610040245,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
10000,768,float32_inputs_float64_accumulation,512,0.014915750012733042,,,6371456,800000000,125.55999758924804,True,False,O(ND)_time_O(chunk*D+N)_extra_memory,False
