sequence,phase,command,cwd,start_utc,end_utc,duration_seconds,exit_code,status,stdout_log,stderr_log,artifacts_created,artifacts_reused,blocker,claim_allowed
1,baseline_compileall,python3 -m compileall -q certgen scripts tests,.,2026-08-12T10:47:08.625819Z,2026-08-12T10:47:08.760339Z,0.134174,0,PASS,reports/icml2027/deep_repair/command_logs/0001_baseline_compileall.stdout.log,reports/icml2027/deep_repair/command_logs/0001_baseline_compileall.stderr.log,,,,False
2,baseline_imports,python3 -c 'import certgen; import certgen.icml2027; import certgen.metrics.streams; import certgen.stats.reference_sampling',.,2026-08-12T10:47:08.830466Z,2026-08-12T10:47:08.911403Z,0.080582,0,PASS,reports/icml2027/deep_repair/command_logs/0002_baseline_imports.stdout.log,reports/icml2027/deep_repair/command_logs/0002_baseline_imports.stderr.log,,,,False
3,baseline_normal_pytest,pytest -q,.,2026-08-12T10:47:08.982840Z,2026-08-12T10:47:25.997138Z,17.013746,0,PASS,reports/icml2027/deep_repair/command_logs/0003_baseline_normal_pytest.stdout.log,reports/icml2027/deep_repair/command_logs/0003_baseline_normal_pytest.stderr.log,,,,False
4,baseline_full_marker_pytest,pytest -q -o addopts=,.,2026-08-12T10:47:33.499248Z,2026-08-12T10:48:57.843900Z,84.336887,0,PASS,reports/icml2027/deep_repair/command_logs/0004_baseline_full_marker_pytest.stdout.log,reports/icml2027/deep_repair/command_logs/0004_baseline_full_marker_pytest.stderr.log,,,,False
5,baseline_integration_wrappers,pytest -q -o addopts= -m integration_audit,.,2026-08-12T10:48:57.919983Z,2026-08-12T10:50:06.615270Z,68.694026,0,PASS,reports/icml2027/deep_repair/command_logs/0005_baseline_integration_wrappers.stdout.log,reports/icml2027/deep_repair/command_logs/0005_baseline_integration_wrappers.stderr.log,,,,False
6,baseline_notebook_determinism,python3 -m certgen icml2027 notebooks check-determinism --root notebooks/kaggle/icml2027,.,2026-08-12T10:50:20.614445Z,2026-08-12T10:50:20.730066Z,0.115136,0,PASS,reports/icml2027/deep_repair/command_logs/0006_baseline_notebook_determinism.stdout.log,reports/icml2027/deep_repair/command_logs/0006_baseline_notebook_determinism.stderr.log,,,,False
7,baseline_trusted_bootstrap_security,pytest -q -o addopts= tests/test_final_execution_path_seal.py tests/test_universal_kaggle_discovery.py,.,2026-08-12T10:50:20.801004Z,2026-08-12T10:50:26.851204Z,6.049665,0,PASS,reports/icml2027/deep_repair/command_logs/0007_baseline_trusted_bootstrap_security.stdout.log,reports/icml2027/deep_repair/command_logs/0007_baseline_trusted_bootstrap_security.stderr.log,,,,False
8,baseline_diagnostic_bundle,python3 -m certgen kaggle validate-input artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip --json,.,2026-08-12T10:50:26.925063Z,2026-08-12T10:50:27.076622Z,0.151044,0,PASS,reports/icml2027/deep_repair/command_logs/0008_baseline_diagnostic_bundle.stdout.log,reports/icml2027/deep_repair/command_logs/0008_baseline_diagnostic_bundle.stderr.log,,,,False
9,baseline_preflight_bundle,python3 -m certgen kaggle validate-input artifacts/cvpr/kaggle_inputs/preflight/certgen_cvpr_preflight_input.zip --json,.,2026-08-12T10:50:27.148664Z,2026-08-12T10:50:27.314245Z,0.165099,0,PASS,reports/icml2027/deep_repair/command_logs/0009_baseline_preflight_bundle.stdout.log,reports/icml2027/deep_repair/command_logs/0009_baseline_preflight_bundle.stderr.log,,,,False
10,baseline_provenance,python3 -m certgen provenance verify --study artifacts/cvpr/study/cifar_integrity_minimal.yaml,.,2026-08-12T10:50:27.387882Z,2026-08-12T10:50:27.520750Z,0.132383,0,PASS,reports/icml2027/deep_repair/command_logs/0010_baseline_provenance.stdout.log,reports/icml2027/deep_repair/command_logs/0010_baseline_provenance.stderr.log,,,,False
