attack_id,reviewer_question,setup,expected_invariant,pass_fail_rule,passed,artifacts,runtime_seconds,synthetic_validation_only,not_real_generator_evidence,not_empirical_paper_evidence,claim_allowed
optional_stopping,Does repeated peeking inflate false positives?,"{""false_positive_rate"":0.0,""tolerance"":0.1}",anytime false-positive rate does not exceed configured tolerance,anytime false-positive rate does not exceed configured tolerance,True,reviewer_attack_results.csv,0.01247295900247991,True,True,True,False
bandwidth_sensitivity,Does bandwidth determine the conclusion?,"{""kernel_values"":[0.0,1.9287498479639315e-22,0.6065306597126334,0.9950124791926823,0.9999999999995]}",all runs remain finite and bounded,all runs remain finite and bounded,True,reviewer_attack_results.csv,3.6290992284193635e-05,True,True,True,False
alpha_sensitivity,Are stricter alpha values at least as conservative?,"{""decisions"":[""UNRESOLVED"",""UNRESOLVED"",""UNRESOLVED"",""UNRESOLVED""]}",resolved counts are monotone in alpha,resolved counts are monotone in alpha,True,reviewer_attack_results.csv,0.0007868339889682829,True,True,True,False
reference_size_sensitivity,Does reference size destabilize decisions?,"{""widths"":[1.225874677901928,0.9151749191546399,0.6796858875495522,0.5026100613970693]}",confidence width does not increase with budget,confidence width does not increase with budget,True,reviewer_attack_results.csv,0.00040070898830890656,True,True,True,False
candidate_budget_sensitivity,Do larger candidate budgets reduce uncertainty?,"{""widths"":[1.225874677901928,0.9151749191546399,0.6796858875495522,0.5026100613970693]}",confidence width does not increase with budget,confidence width does not increase with budget,True,reviewer_attack_results.csv,0.00039204201311804354,True,True,True,False
stream_order_sensitivity,Is validity preserved across frozen stream orders?,"{""decisions"":[""UNRESOLVED"",""UNRESOLVED"",""UNRESOLVED"",""UNRESOLVED"",""UNRESOLVED"",""UNRESOLVED"",""UNRESOLVED"",""UNRESOLVED""]}",no incorrect anytime direction,no incorrect anytime direction,True,reviewer_attack_results.csv,0.001660291978623718,True,True,True,False
reference_draw_sensitivity,Do prospective reference draws remain valid?,"{""decisions"":[""B_BETTER"",""B_BETTER"",""B_BETTER"",""B_BETTER"",""B_BETTER"",""B_BETTER"",""B_BETTER"",""B_BETTER""]}",no incorrect anytime direction,no incorrect anytime direction,True,reviewer_attack_results.csv,0.0015468329947907478,True,True,True,False
seed_partition_sensitivity,Are disjoint seed partitions deterministic?,"{""unique_seeds"":20}",repeated seed partitions hash identically,repeated seed partitions hash identically,True,reviewer_attack_results.csv,9.845799650065601e-05,True,True,True,False
preprocessing_sensitivity,Can preprocessing changes silently enter confirmatory results?,"{""confirmatory_mutation"":false,""registered_ablation_required"":true}",alternative is labeled as an ablation,alternative is labeled as an ablation,True,reviewer_attack_results.csv,1.3125012628734112e-05,True,True,True,False
interpolation_sensitivity,Can interpolation change silently?,"{""confirmatory_mutation"":false,""registered_ablation_required"":true}",alternative is labeled as an ablation,alternative is labeled as an ablation,True,reviewer_attack_results.csv,1.0542018571868539e-05,True,True,True,False
feature_normalization_sensitivity,Can feature normalization change silently?,"{""confirmatory_mutation"":false,""registered_ablation_required"":true}",alternative is labeled as an ablation,alternative is labeled as an ablation,True,reviewer_attack_results.csv,9.666982805356383e-06,True,True,True,False
duplicate_contamination,Do exact duplicates trigger a diagnostic?,"{""detector_fixture_triggered"":true}",duplicates are detected,duplicates are detected,True,reviewer_attack_results.csv,8.95801349543035e-06,True,True,True,False
near_duplicate_contamination,Do near duplicates trigger a diagnostic?,"{""detector_fixture_triggered"":true}",near duplicates are detected,near duplicates are detected,True,reviewer_attack_results.csv,8.499977411702275e-06,True,True,True,False
jpeg_compression,Is compression a registered ablation?,"{""confirmatory_mutation"":false,""registered_ablation_required"":true}",perturbation is kept outside confirmatory inputs,perturbation is kept outside confirmatory inputs,True,reviewer_attack_results.csv,8.040980901569128e-06,True,True,True,False
corruption_severity,Does stronger corruption worsen the synthetic signal?,"{""effects"":[0.04995837495787997,0.09966799462495582,0.197375320224904,0.3799489622552249]}",mean absolute effect is monotone,mean absolute effect is monotone,True,reviewer_attack_results.csv,1.5375000657513738e-05,True,True,True,False
reference_reuse,Is shared-reference dependence declared?,"{""independence_claimed"":false,""reference_reuse"":true}",reuse flag is true,reuse flag is true,True,reviewer_attack_results.csv,9.25001222640276e-06,True,True,True,False
finite_population_dependence,Is without-replacement sampling declared?,"{""finite_population"":true,""without_replacement"":true}",finite-population flag is true,finite-population flag is true,True,reviewer_attack_results.csv,8.08399636298418e-06,True,True,True,False
near_ties,Are near ties left unresolved?,"{""unresolved_rate"":1.0}",majority remains unresolved,majority remains unresolved,True,reviewer_attack_results.csv,0.0032054579933173954,True,True,True,False
