command_id,command,working_directory,environment,start_utc,end_utc,duration_seconds,exit_code,passed,failed,skipped_or_deselected,warnings,output,evidence_boundary
baseline_default_tests,"python3 -m pytest -q",.,"Python 3.11 local CPU",NOT_CAPTURED_PRE_EDIT,NOT_CAPTURED_PRE_EDIT,NOT_CAPTURED_PRE_EDIT,0,241,0,4,"baseline timing was not retained; result was captured before edits","241 passed; 4 deselected","static/local tests only"
baseline_integration,"python3 -m pytest -q -m integration_audit",.,"Python 3.11 local CPU",NOT_CAPTURED_PRE_EDIT,NOT_CAPTURED_PRE_EDIT,NOT_CAPTURED_PRE_EDIT,0,4,0,241,"baseline timing was not retained; result was captured before edits","4 passed; 241 deselected","audit wrappers only"
baseline_statistical,"python3 -m pytest -q tests/test_confidence_sequences.py tests/test_mmd_streams.py tests/test_clean_core_certificate.py tests/test_reference_draw_plan.py tests/test_certificate.py tests/test_v4_batch_and_analysis.py",.,"Python 3.11 local CPU",NOT_CAPTURED_PRE_EDIT,NOT_CAPTURED_PRE_EDIT,NOT_CAPTURED_PRE_EDIT,0,31,0,0,"baseline timing was not retained; result was captured before edits","31 passed","fixture/statistical contract only"
baseline_artifact,"python3 -m pytest -q tests/test_cvpr_architecture.py tests/test_cvpr_extended_synthetic.py tests/test_feature_cache_v2_contract.py tests/test_final_runtime_hardening.py",.,"Python 3.11 local CPU",NOT_CAPTURED_PRE_EDIT,NOT_CAPTURED_PRE_EDIT,NOT_CAPTURED_PRE_EDIT,0,25,0,0,"baseline timing was not retained; result was captured before edits","25 passed","artifact contracts only"
baseline_full_mypy,"python3 -m mypy certgen",.,"mypy 2.1.0",NOT_CAPTURED_PRE_EDIT,NOT_CAPTURED_PRE_EDIT,NOT_CAPTURED_PRE_EDIT,1,0,111,0,"34 files affected; historical debt baseline","Found 111 errors in 34 files","type-debt inventory only"
closure_default,"PYTHONDONTWRITEBYTECODE=1 CUDA_VISIBLE_DEVICES='' python3 -m pytest -q",.,"Python 3.11 local CPU",2026-07-16T05:52:24Z,2026-07-16T05:52:29Z,5.822,0,250,0,4,none,"250 passed; 4 deselected in 5.01s","local validation only"
closure_integration,"PYTHONDONTWRITEBYTECODE=1 CUDA_VISIBLE_DEVICES='' python3 -m pytest -q -m integration_audit",.,"Python 3.11 local CPU",2026-07-16T05:52:30Z,2026-07-16T05:52:53Z,23.868,0,4,0,250,none,"4 passed; 250 deselected in 23.23s","integration validation only"
closure_statistical_stale_command,"python3 -m pytest -q tests/test_anytime_mmd.py tests/test_rbf_mmd_contract.py tests/test_stream_contract.py tests/test_optional_stopping.py tests/test_reference_sampling_protocol.py",.,"Python 3.11 local CPU",2026-07-16T05:52:54Z,2026-07-16T05:52:54Z,0.662,4,0,1,0,"stale filenames; corrected in closure_statistical","no tests ran; file not found","diagnostic command failure only"
closure_statistical,"python3 -m pytest -q tests/test_confidence_sequences.py tests/test_mmd_streams.py tests/test_clean_core_certificate.py tests/test_reference_draw_plan.py tests/test_certificate.py tests/test_v4_batch_and_analysis.py",.,"Python 3.11 local CPU",2026-07-16T05:53:56Z,2026-07-16T05:53:57Z,0.985,0,31,0,0,none,"31 passed in 0.20s","fixture/statistical contract only"
closure_artifact,"python3 -m pytest -q tests/test_cvpr_architecture.py tests/test_cvpr_extended_synthetic.py tests/test_feature_cache_v2_contract.py tests/test_final_runtime_hardening.py",.,"Python 3.11 local CPU",2026-07-16T05:52:54Z,2026-07-16T05:52:58Z,3.843,0,25,0,0,none,"25 passed in 3.13s","artifact contracts only"
closure_runtime,"python3 -m pytest -q tests/test_final_runtime_hardening.py tests/test_archive_portable.py tests/test_real_execution_closure.py",.,"Python 3.11 local CPU",2026-07-16T05:52:58Z,2026-07-16T05:53:01Z,2.781,0,20,0,0,none,"20 passed in 1.98s","fixture/runtime contracts only"
closure_cvpr_contract,"python3 -m pytest -q tests/test_cvpr_architecture.py tests/test_cvpr_runtime_planner.py tests/test_cvpr_extended_synthetic.py tests/test_cvpr_gates.py tests/test_real_execution_closure.py",.,"Python 3.11 local CPU",2026-07-16T05:53:01Z,2026-07-16T05:53:05Z,4.105,0,24,0,0,none,"24 passed in 3.29s","fixture/CVPR contracts only"
closure_compile,"python3 -m compileall -q certgen tests",.,"Python 3.11",2026-07-16T05:53:57Z,2026-07-16T05:53:57Z,0.186,0,1,0,0,none,pass,"software validation only"
closure_imports,"python3 -c <10 critical imports>",.,"Python 3.11",2026-07-16T05:53:57Z,2026-07-16T05:53:57Z,0.235,0,10,0,0,none,pass,"software validation only"
closure_ruff,"python3 -m ruff check certgen tests",.,"Ruff 0.15.8",2026-07-16T05:53:57Z,2026-07-16T05:53:58Z,0.184,0,1,0,0,none,"All checks passed","software validation only"
closure_critical_mypy,"python3 -m mypy --follow-imports=skip --ignore-missing-imports <21 closure source files>",.,"mypy 2.1.0",2026-07-16T05:53:58Z,2026-07-16T05:53:59Z,1.440,0,21,0,0,none,"Success: no issues found in 21 source files","software validation only"
closure_full_mypy,"python3 -m mypy certgen",.,"mypy 2.1.0",2026-07-16T05:53:59Z,2026-07-16T05:54:14Z,14.766,1,0,111,0,"expected historical debt; exact baseline aggregate retained","Found 111 errors in 34 files; checked 280 source files","type-debt inventory only"
closure_notebook_determinism,"python3 -m certgen.notebooks.cvpr_factory; compare SHA-256; regenerate; compare SHA-256",.,"Python 3.11 local CPU",2026-07-16T05:55:10Z,2026-07-16T05:55:10Z,0.240,0,5,0,0,none,"identical hashes across both regenerations","static notebook validation only"
closure_notebook_audit,"python3 -m certgen audit notebooks",.,"Python 3.11 local CPU",2026-07-16T05:55:10Z,2026-07-16T05:55:10Z,0.195,0,5,0,0,"real Kaggle execution required","5/5 passed; static_only=true; real_kaggle_tested=false","static notebook validation only"
closure_synthetic,"python3 -m certgen synthetic-runtime --out-dir <temporary>",.,"Python 3.11 local CPU",2026-07-16T05:55:10Z,2026-07-16T05:55:11Z,0.579,0,21,0,0,"synthetic inputs and fake workers","synthetic_real_contract_passed; 21/21 stages","synthetic non-evidence only"
