path,purpose,current_or_legacy,source_or_generated,evidence_class,safe_to_release,action_needed,tracked,ignored,size_bytes
.gitignore,repository metadata or historical process artifact,current,source,NOT_EVIDENCE,false,review_before_release,true,false,582
AUTORUN_BLOCKERS.md,repository metadata or historical process artifact,current,source,NOT_EVIDENCE,false,review_before_release,false,false,442
AUTORUN_BLOCKERS_V2.md,repository metadata or historical process artifact,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,false,false,233
AUTORUN_LEDGER.jsonl,repository metadata or historical process artifact,current,source,NOT_EVIDENCE,false,review_before_release,false,false,14253
AUTORUN_LEDGER_V2.jsonl,repository metadata or historical process artifact,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,false,false,20495
AUTORUN_STATUS.md,repository metadata or historical process artifact,current,source,NOT_EVIDENCE,false,review_before_release,false,false,360
AUTORUN_STATUS_V2.md,repository metadata or historical process artifact,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,false,false,1009
CERTGEN_FORENSIC_AUDIT_AND_MAXIMUM_CEILING_REPORT.md,repository metadata or historical process artifact,current,source,NOT_EVIDENCE,false,review_before_release,false,false,22147
README.md,repository metadata or historical process artifact,current,source,NOT_EVIDENCE,true,none,true,false,1436
certGen_report.md,repository metadata or historical process artifact,current,source,NOT_EVIDENCE,false,review_before_release,false,false,19425
certGen_report_v2.md,repository metadata or historical process artifact,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,false,false,26574
certgen/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,46
certgen/__main__.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,5309
certgen/analysis/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,27
certgen/analysis/block_size_sensitivity.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,4135
certgen/analysis/decidedness.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,2083
certgen/analysis/ranking_stability.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1173
certgen/analysis/samples_to_decision.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1326
certgen/audit/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,34
certgen/audit/analysis_plan_audit.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,4157
certgen/audit/claim_contract.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,8652
certgen/audit/claim_trace_audit_v5.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,1670
certgen/audit/cvpr_readiness.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,3374
certgen/audit/final_execution_audit.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,683
certgen/audit/forensic_final_audit.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,9165
certgen/audit/forensic_inventory.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,8467
certgen/audit/metric_reproduction.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,5694
certgen/audit/paper_scaffold_audit.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,2420
certgen/audit/preprocessing_lock_audit.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,388
certgen/audit/proof_obligation_audit.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,3909
certgen/audit/r0_cpu_gpu_audit.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,11780
certgen/audit/r0_technical_correction_audit.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,297
certgen/audit/r1a_sample_materialization_audit.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,8027
certgen/audit/r1b_generation_package_audit.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,7586
certgen/audit/r1e_first_pilot_audit.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,1693
certgen/audit/related_work_audit.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,4405
certgen/audit/release_safety_v5.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,3656
certgen/audit/result_contract_audit.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1473
certgen/audit/reviewer_harness_audit.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,2044
certgen/audit/v2_audit.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,7794
certgen/audit/v3_final.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,11857
certgen/audit/v3_intake.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,4807
certgen/audit/v4_audit.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,22193
certgen/audit/v4_state_intake.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,5368
certgen/audit/v5_audit.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,11514
certgen/audit/v5_state_intake.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,7422
certgen/audit/v7_execution_development_audit.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,false,false,3356
certgen/audit/v9_execution_supercharger_audit.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,11320
certgen/certs/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,36
certgen/certs/api.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,12461
certgen/certs/batch_certificate.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,3814
certgen/certs/clean_core.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,3134
certgen/certs/confidence_sequence.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,2806
certgen/certs/decision.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,4486
certgen/certs/fid_policy.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1421
certgen/certs/io.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,2535
certgen/certs/multiple_comparisons.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,5173
certgen/certs/replay.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,3581
certgen/certs/sensitivity.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,892
certgen/certs/stopping.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,387
certgen/cli/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,45
certgen/cli/audit_metric_reproduction.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,782
certgen/cli/build_decidedness_audit.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,788
certgen/cli/build_paper_artifacts.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1515
certgen/cli/build_ranking_stability_report.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,714
certgen/cli/build_real_run_plan.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,908
certgen/cli/build_reference_draw_plan.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,1938
certgen/cli/certify_clean_metric.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,2667
certgen/cli/check_fid_policy.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,707
certgen/cli/generate_feature_notebook.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,854
certgen/cli/lock_preprocessing.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,726
certgen/cli/make_smoke_artifacts.py,package implementation,current,source,SYNTHETIC_ONLY,true,none,true,false,8550
certgen/cli/plan_feature_extraction.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,2693
certgen/cli/plan_first_pilot.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1098
