path,exists,size,sha256,claim_allowed
notebooks/kaggle/certgen_kaggle_environment_diagnostic_t4x2.ipynb,true,12499,01298f6cd0cd6c60ee8e2b4c71f052a079134976f46a0bcf8ef0193aeaad0687,false
notebooks/kaggle/certgen_cvpr_checkpoint_preflight_t4x2.ipynb,true,24614,2efaa4cd704384db15c7153fa4b44ea108602526e66c68f3bf3260b56e68be57,false
notebooks/kaggle/certgen_cvpr_generation_1k_t4x2.ipynb,true,23095,ad9f8651dbd01b19d4a216357e660d227455291bff898132e9fd52f5b3b4f1b8,false
notebooks/kaggle/certgen_cvpr_feature_extraction_t4x2.ipynb,true,23878,6c72119c638cb54080b2b282b00791d51b13ceac22236862d83f152a9e2beede,false
artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip,true,571548,52ac34e50dcc8bbb2b719bdf61c4137ec4b725e9e6d7ec1b95bece33c38ce7f4,false
artifacts/cvpr/kaggle_inputs/preflight/certgen_cvpr_preflight_input.zip,true,579464,ffe1540c54628dc01fbe80e4b38bcd73d56225f30062505c37affd293167e433,false
requirements/kaggle-base.lock,true,296,389fec8ca507c20e7cf3204c1e5ecc9105497e40e122a66b7152113516d81947,false
requirements/kaggle-preflight.lock,true,183,e63da1a51492e40710c64cb9564f4ad559c2a9cc0b60cb5ff1d59f0e43724a9e,false
requirements/kaggle-generation.lock,true,142,8ef25d46f7f228ad5745a36ed3fdde88a1bb1e02136f0059ecf40f9188a21519,false
requirements/kaggle-features.lock,true,147,036e58b550282aab2aae662c31145c1a8af8642fb8e670d1e07ae62b72e0c7f6,false
requirements/kaggle-constraints.txt,true,333,fb1563b258ebbd84f4163bc11cce8e5c6408aa73bd0da6bd1b596a01cdca344e,false
registry/cvpr/kaggle_asset_registry.yaml,true,2601,6bbb4509c5a644bda6b818dd740ea861a18446e4c4e31e1a448ad44310a41916,false
KAGGLE_ASSET_SETUP.md,true,1669,99634845d43cbaa17b2ea60d26e601a5b0429da27dfaa3fac98b230f34228061,false
artifacts/cvpr/kaggle_inputs/generation/BUILD_PLAN.json,true,630,1ad5597084ebcffc1f561578be166a150b7c4597b4761a185748b08ef3808995,false
artifacts/cvpr/kaggle_inputs/features/BUILD_PLAN.json,true,608,46546703d05aab2d9417ebbd5673db723c747493b2b1006d15ff43d31faebd89,false
