path,artifact_type,tracked,contains_real_evidence,claim_allowed,status
CERTGEN_KAGGLE_UNIVERSAL_ACCOUNT_HANDBOOK.md,operator_handbook,true,false,false,READY
CERTGEN_KAGGLE_RUN_LAUNCHBOARD.md,operator_launchboard,true,false,false,UPDATED
CERTGEN_KAGGLE_DEPENDENCY_AND_ASSET_GUIDE.md,dependency_asset_guide,true,false,false,UPDATED
CERTGEN_CURRENT_NEXT_ACTION.md,next_action,true,false,false,UPDATED
certgen/discovery,source_package,true,false,false,IMPLEMENTED
certgen/notebooks/environment_bootstrap.py,source_module,true,false,false,UPDATED
scripts/run_all_available_cpu_stages.py,source_script,true,false,false,UPDATED
tests/test_universal_kaggle_discovery.py,test_module,true,false,false,PASS
requirements/kaggle-diagnostic.lock,dependency_lock,true,false,false,READY
requirements/kaggle-generation.lock,dependency_lock,true,false,false,UPDATED
artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip,kaggle_input_bundle,true,false,false,VALID
artifacts/cvpr/kaggle_inputs/preflight/certgen_cvpr_preflight_input.zip,kaggle_input_bundle,true,false,false,VALID
reports/CERTGEN_UNIVERSAL_KAGGLE_BASELINE.md,audit_report,true,false,false,COMPLETE
reports/CERTGEN_UNIVERSAL_KAGGLE_CURRENT_STATE.json,state_report,true,false,false,PASS
reports/CERTGEN_UNIVERSAL_KAGGLE_COMMAND_LEDGER.csv,command_ledger,true,false,false,COMPLETE
reports/CERTGEN_UNIVERSAL_KAGGLE_COMMAND_LEDGER.jsonl,command_ledger,true,false,false,COMPLETE
reports/CERTGEN_UNIVERSAL_DISCOVERY_AUDIT.md,audit_report,true,false,false,PASS
reports/CERTGEN_FOUR_ACCOUNT_PORTABILITY_MATRIX.csv,synthetic_test_matrix,true,false,false,36_OF_36_PASS
reports/CERTGEN_FOUR_ACCOUNT_PORTABILITY_REPORT.md,audit_report,true,false,false,PASS
reports/CERTGEN_DEPENDENCY_CLOSURE_MATRIX.csv,dependency_test_matrix,true,false,false,4_OF_4_PASS
reports/CERTGEN_DEPENDENCY_CLOSURE_REPORT.md,audit_report,true,false,false,PASS
reports/CERTGEN_PACKAGE_SECURITY_AUDIT.md,audit_report,true,false,false,PASS
reports/CERTGEN_UNIVERSAL_KAGGLE_FINAL_AUDIT.md,audit_report,true,false,false,PASS
