run_id_template,run_name,class,priority,purpose,location,CPU_or_GPU,GPU_count,input,output,prerequisites,command_or_notebook,planning_runtime,planning_disk,planning_RAM,planning_VRAM,resumable,failure_recovery,evidence_class,claim_permission,completion_test
local__validation__current__none__hash__timestamp,LOCAL_CPU_VALIDATION,A,P0,local safety,local,CPU,0,repo,audit,none,python3 -m certgen audit cvpr,minutes,small,low,none,yes,repair exact failing gate,planning_only,false,audit pass
cifar10__reference__test__none__hash__timestamp,LOCAL_CPU_REFERENCE,B,P0,reference manifest,local,CPU,0,official source,10k manifest,user source,python3 -m certgen materialize reference --source <path>,minutes,under 1 GiB,low,none,idempotent identical,preserve source and report rejected layout,cache_artifact,false,10000 validated rows
cifar10__preflight__tiny__none__hash__timestamp,KAGGLE_T4X2_PREFLIGHT,C,P1,real load,Kaggle,GPU,2,preflight package,preflight ZIP,reference+registry,certgen_cvpr_checkpoint_preflight_t4x2.ipynb,5-30 minutes,model dependent,Kaggle dependent,T4 dependent,per model,rerun failed model only under same hash,run_log_only,false,all model status pass
cifar10__generation__1k__none__hash__timestamp,KAGGLE_T4X2_GENERATION,D,P1,1k samples/model,Kaggle,GPU,2,validated preflight,generation ZIP,preflight import,certgen_cvpr_cifar10_generation_t4x2_1k.ipynb,30 minutes-3 hours,model/image dependent,Kaggle dependent,T4 dependent,per shard,quarantine invalid shard; rerun exact shard,pilot_only,false,complete unique manifest
cifar10__features__1k__feature__hash__timestamp,KAGGLE_T4X2_FEATURE_EXTRACTION,E,P1,three feature spaces,Kaggle,GPU,2,images+locks,feature ZIP,generation import,certgen_cvpr_feature_extraction_t4x2_1k.ipynb,5-60 minutes/extractor,feature dependent,Kaggle dependent,T4 dependent,per shard,rerun failed shard under same lock,cache_artifact,false,cache-v2 pass
cifar10__import__1k__none__hash__timestamp,LOCAL_CPU_IMPORT,F,P1,secure copyback validation,local,CPU,0,copied-back ZIP,hash-addressed immutable import,completed Kaggle stage,python3 -m certgen import <stage> <zip>,seconds-tens of minutes,ZIP plus extracted bytes,low,none,new immutable output only,preserve raw ZIP; follow structured repair record,cache_or_run_log_by_stage,false,integrity schema and stage validators pass
cifar10__metric-reproduction__1k__feature__hash__timestamp,LOCAL_CPU_METRIC_REPRODUCTION,G,P1,bind and cross-check exact registered metric,local,CPU,0,validated cache-v2 pair plus frozen target,immutable metric gate JSON,cache validation,python3 -m certgen sanity metric-reproduction --config <frozen.yaml> --out <new.json>,seconds-minutes,feature-cache dependent,two feature arrays plus kernels,none,immutable rerun under same hash,stop on identity or tolerance failure,sanity_artifact,false,PASS with exact target class and lineage
cifar10__sanity__1k__feature__hash__timestamp,LOCAL_CPU_SANITY,G,P1,null gap direction and protocol controls,local,CPU,0,frozen control measurements and artifact IDs,immutable sanity gate JSON,metric gate pass,python3 -m certgen sanity controls --config <frozen.yaml> --out <new.json>,seconds-minutes,artifact dependent,feature dependent,none,immutable rerun under same hash,stop at failed control; do not relax tolerance,sanity_artifact,false,all ten required controls pass
cifar10__certificate__1k__feature__hash__timestamp,LOCAL_CPU_CERTIFICATE,H,P1,first bounded-RBF nonclaim certificate,local,CPU,0,frozen study family bundle and draw plan,immutable certificate JSON,all sanity gates and family freeze,python3 -m certgen certify --study <yaml> --family <json> --features <npz> --reference-draw-plan <json> --comparison <id> --feature-space <id> --out <new.json>,seconds-minutes,feature-bundle dependent,feature dependent,none,same stream identity only,block changed stream family alpha or draw,pilot_only,false,deterministic decided censored or blocked certificate
cifar10__ranking__1k__multi__hash__timestamp,LOCAL_CPU_PARTIAL_RANKING,I,P2,certified partial graph,local,CPU,0,compatible certificate family,graph CSVs and summary JSON,certificate pilot complete,python3 -m certgen rank --family <json> --certificate-dir <dir> --out-dir <new-dir>,seconds,small,low,none,new immutable output directory,reject mixed identities; keep incomparable pairs,pilot_only,false,no forced total order and compatibility pass
cifar10__sensitivity__1k__feature__hash__timestamp,LOCAL_CPU_SENSITIVITY,I,P2,censored samples-to-decision and registered ablations,local,CPU,0,compatible certificates by frozen variant,nonclaim analysis JSON,pilot certificates,python3 -m certgen analyze samples-to-decision --certificate-dir <dir> --out <new.json>,seconds-minutes,small,low,none,new immutable output,retain censoring and exclude incompatible variants,pilot_only,false,decided censored and invalid counts retained
cifar10__figures__1k__multi__hash__timestamp,LOCAL_CPU_FIGURES,J,P3,pilot visuals or paper-gated rendering,local,CPU,0,figure request plus approved artifact IDs,planning contract or gated figure,ranking and figure approval gate,python3 -m certgen figures --request <json> --out <new.json>,seconds-minutes,small plus selected images,low,none,new immutable outputs,block unapproved lineage; do not render,planning_or_pilot,false,schema pass and explicit approval status
multibench__literature-audit__full__multi__hash__timestamp,LOCAL_CPU_LITERATURE_AUDIT,K,P3,prospective published-claim audit,local/manual,CPU,0,frozen claim registry and eligible artifacts,audited claim table,protocol frozen before curation,follow docs/experiments/CERTGEN_CVPR_LITERATURE_AUDIT_PROTOCOL.md,days of manual curation,source dependent,low,none,append-only registry,record exclusion or blocker; never invent citation,candidate_paper_evidence,false,every included claim has complete provenance
multibench__paper-gate__full__multi__hash__timestamp,LOCAL_CPU_PAPER_GATE,L,P3,explicit evidence promotion audit,local,CPU,0,complete multi-benchmark immutable lineage,paper firewall and approved artifact registry,all empirical and release gates,python3 -m certgen audit paper,minutes,small,low,none,rerun after every paper edit,remove unsupported language or block promotion,paper_evidence_candidate,false until separate future approval,firewall pass plus explicit approved artifact IDs
