simulation_id,scenario_id,scenario_family,replicate_id,seed,dimension,sample_budget,effect_size,alpha,kernel,bandwidth,stopping_rule,multiplicity_rule,representation_count,model_count,reference_reuse,decision,stopping_time,coverage,false_positive,false_negative,runtime_seconds,true_mean,confidence_width,synthetic_validation_only,not_real_generator_evidence,not_empirical_paper_evidence,claim_allowed
83f5e666b0c995b9d494,adaptive,adaptive_allocation,0,2990402373,16,5000,0.08,0.05,rbf,median,anytime,bonferroni,1,10,False,UNRESOLVED,5000,True,False,True,0.00039995898259803653,0.08,0.18209213411654696,True,True,True,False
51bd4b70fd51b78a7c35,adaptive,adaptive_allocation,1,4080462505,16,5000,0.08,0.05,rbf,median,anytime,bonferroni,1,10,False,UNRESOLVED,5000,True,False,True,0.0003952080151066184,0.08,0.18209213411654696,True,True,True,False
d3b81ca884616f047ca9,adaptive,adaptive_allocation,2,2754279094,16,5000,0.08,0.05,rbf,median,anytime,bonferroni,1,10,False,UNRESOLVED,5000,True,False,True,0.00039604102494195104,0.08,0.18209213411654696,True,True,True,False
61f8bf004218196facfa,adaptive,adaptive_allocation,3,914310002,16,5000,0.08,0.05,rbf,median,anytime,bonferroni,1,10,False,UNRESOLVED,5000,True,False,True,0.00039608299266546965,0.08,0.18209213411654696,True,True,True,False
5eeab14fe3dac5280793,adaptive,adaptive_allocation,4,1045748378,16,5000,0.08,0.05,rbf,median,anytime,bonferroni,1,10,False,UNRESOLVED,5000,True,False,True,0.00039891700726002455,0.08,0.18209213411654696,True,True,True,False
be87025d5b9fd092fb7f,adaptive,adaptive_allocation,5,1095473497,16,5000,0.08,0.05,rbf,median,anytime,bonferroni,1,10,False,UNRESOLVED,5000,True,False,True,0.00039604201447218657,0.08,0.18209213411654696,True,True,True,False
8658809a95a70cd21b58,adaptive,adaptive_allocation,6,2055783708,16,5000,0.08,0.05,rbf,median,anytime,bonferroni,1,10,False,UNRESOLVED,5000,True,False,True,0.0003959579626098275,0.08,0.18209213411654696,True,True,True,False
9c0fa491f0de40406859,adaptive,adaptive_allocation,7,1243680034,16,5000,0.08,0.05,rbf,median,anytime,bonferroni,1,10,False,UNRESOLVED,5000,True,False,True,0.00039458402898162603,0.08,0.18209213411654696,True,True,True,False
cd7aeb576c67b28df776,adaptive,adaptive_allocation,8,2841898748,16,5000,0.08,0.05,rbf,median,anytime,bonferroni,1,10,False,UNRESOLVED,5000,True,False,True,0.0005291249835863709,0.08,0.18209213411654696,True,True,True,False
a50fd81c8e6a4734b856,adaptive,adaptive_allocation,9,484831125,16,5000,0.08,0.05,rbf,median,anytime,bonferroni,1,10,False,UNRESOLVED,5000,True,False,True,0.0005427079740911722,0.08,0.18209213411654696,True,True,True,False
5c63dc019e9f8a4c7827,adaptive,adaptive_allocation,10,4113953638,16,5000,0.08,0.05,rbf,median,anytime,bonferroni,1,10,False,UNRESOLVED,5000,True,False,True,0.0005206250352784991,0.08,0.18209213411654696,True,True,True,False
f4cfbca3a9c0159fcb51,adaptive,adaptive_allocation,11,4277274319,16,5000,0.08,0.05,rbf,median,anytime,bonferroni,1,10,False,UNRESOLVED,5000,True,False,True,0.0004975000047124922,0.08,0.18209213411654696,True,True,True,False
6b926db0d4556097a60c,adaptive,adaptive_allocation,12,1075651142,16,5000,0.08,0.05,rbf,median,anytime,bonferroni,1,10,False,UNRESOLVED,5000,True,False,True,0.0005032079643569887,0.08,0.18209213411654696,True,True,True,False
9f43b053a751cf4825c9,adaptive,adaptive_allocation,13,917922302,16,5000,0.08,0.05,rbf,median,anytime,bonferroni,1,10,False,UNRESOLVED,5000,True,False,True,0.00048145902110263705,0.08,0.18209213411654696,True,True,True,False
aaafde87a150db216a17,adaptive,adaptive_allocation,14,2842842504,16,5000,0.08,0.05,rbf,median,anytime,bonferroni,1,10,False,UNRESOLVED,5000,True,False,True,0.0004818750312551856,0.08,0.18209213411654696,True,True,True,False
2754f99febf6009488f1,adaptive,adaptive_allocation,15,3257947823,16,5000,0.08,0.05,rbf,median,anytime,bonferroni,1,10,False,UNRESOLVED,5000,True,False,True,0.0004722499870695174,0.08,0.18209213411654696,True,True,True,False
da1296b0e67eb7115eed,adaptive,adaptive_allocation,16,3128037685,16,5000,0.08,0.05,rbf,median,anytime,bonferroni,1,10,False,UNRESOLVED,5000,True,False,True,0.0004725409671664238,0.08,0.18209213411654696,True,True,True,False
3dad350228ec77018c51,adaptive,adaptive_allocation,17,1816369602,16,5000,0.08,0.05,rbf,median,anytime,bonferroni,1,10,False,UNRESOLVED,5000,True,False,True,0.0004758340073749423,0.08,0.18209213411654696,True,True,True,False
83809dae2090b487affc,adaptive,adaptive_allocation,18,1748136228,16,5000,0.08,0.05,rbf,median,anytime,bonferroni,1,10,False,UNRESOLVED,5000,True,False,True,0.0004699170240201056,0.08,0.18209213411654696,True,True,True,False
d4a23a143ca3ec3bdb8c,adaptive,adaptive_allocation,19,354904732,16,5000,0.08,0.05,rbf,median,anytime,bonferroni,1,10,False,UNRESOLVED,5000,True,False,True,0.0004718330455943942,0.08,0.18209213411654696,True,True,True,False
91f091478aac6dfc99d4,adaptive,adaptive_allocation,20,2640758765,16,5000,0.08,0.05,rbf,median,anytime,bonferroni,1,10,False,UNRESOLVED,5000,True,False,True,0.0004700839635916054,0.08,0.18209213411654696,True,True,True,False
