simulation_id,scenario_id,scenario_family,replicate_id,seed,dimension,sample_budget,effect_size,alpha,kernel,bandwidth,stopping_rule,multiplicity_rule,representation_count,model_count,reference_reuse,decision,stopping_time,coverage,false_positive,false_negative,runtime_seconds,true_mean,confidence_width,synthetic_validation_only,not_real_generator_evidence,not_empirical_paper_evidence,claim_allowed
012f357fe9440677bf61,null_anytime,null_calibration,0,3693830200,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.00045354198664426804,0.0,0.18209213411654696,True,True,True,False
492297e0584f02c43d26,null_anytime,null_calibration,1,2494313709,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.00034308299655094743,0.0,0.18209213411654696,True,True,True,False
62f741af531f569deedd,null_anytime,null_calibration,2,632451106,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.0003240829682908952,0.0,0.18209213411654696,True,True,True,False
5dc37f07a54e7c31a402,null_anytime,null_calibration,3,229642606,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.0003285830025561154,0.0,0.18209213411654696,True,True,True,False
d9879b93900e479413d6,null_anytime,null_calibration,4,2307629298,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.0003172919969074428,0.0,0.18209213411654696,True,True,True,False
6b410d17a69a3b277b8d,null_anytime,null_calibration,5,2182173027,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.0003112919512204826,0.0,0.18209213411654696,True,True,True,False
11dbb6739b7cdb7518dc,null_anytime,null_calibration,6,2923860191,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.0003082919865846634,0.0,0.18209213411654696,True,True,True,False
4f5fe9510cc951079160,null_anytime,null_calibration,7,3506968161,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.00032820896012708545,0.0,0.18209213411654696,True,True,True,False
70be2759f918b8a8d15d,null_anytime,null_calibration,8,627136237,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.000311999989207834,0.0,0.18209213411654696,True,True,True,False
f52689b08f0f18b4c306,null_anytime,null_calibration,9,3384177855,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.000308374990709126,0.0,0.18209213411654696,True,True,True,False
