scenario_family,n,effect_size,alpha,model_count,representation_count,coverage,type_I_error,power,mean_stopping_time,synthetic_validation_only,not_real_generator_evidence,not_empirical_paper_evidence,claim_allowed
adaptive_allocation,5000,0.08,0.05,10,1,1.0,0.0,0.0,5000.0,True,True,True,False
covariance_shift,5000,0.4,0.05,2,1,1.0,0.0,1.0,394.348,True,True,True,False
finite_reference_population,5000,0.0,0.05,2,1,1.0,0.0,1.0,5000.0,True,True,True,False
heavy_tailed,5000,0.4,0.05,2,1,1.0,0.0,1.0,302.936,True,True,True,False
mean_shift,5000,0.05,0.05,2,1,1.0,0.0,0.0,5000.0,True,True,True,False
mean_shift,5000,0.1,0.05,2,1,1.0,0.0,0.39475000000000005,4854.434,True,True,True,False
mean_shift,5000,0.2,0.05,2,1,1.0,0.0,1.0,1124.796,True,True,True,False
mean_shift,5000,0.4,0.05,2,1,1.0,0.0,1.0,253.504,True,True,True,False
mean_shift,5000,0.6,0.05,2,1,1.0,0.0,1.0,114.108,True,True,True,False
mixture_weight_shift,5000,0.4,0.05,2,1,1.0,0.0,1.0,251.748,True,True,True,False
mode_dropping,5000,0.4,0.05,2,1,1.0,0.0,1.0,242.576,True,True,True,False
multi_model_ranking,5000,0.08,0.05,10,1,1.0,0.0,0.0,5000.0,True,True,True,False
multi_model_ranking,5000,0.08,0.05,100,1,1.0,0.0,0.0,5000.0,True,True,True,False
multi_model_ranking,5000,0.08,0.05,2,1,1.0,0.0,0.0,5000.0,True,True,True,False
multi_model_ranking,5000,0.08,0.05,20,1,1.0,0.0,0.0,5000.0,True,True,True,False
multi_model_ranking,5000,0.08,0.05,5,1,1.0,0.0,0.0,5000.0,True,True,True,False
multi_model_ranking,5000,0.08,0.05,50,1,1.0,0.0,0.0,5000.0,True,True,True,False
multimodal_separation,5000,0.4,0.05,2,1,1.0,0.0,1.0,293.076,True,True,True,False
multiplicity,5000,0.0,0.05,10,3,1.0,0.0,1.0,5000.0,True,True,True,False
near_equivalence,5000,0.0,0.05,2,1,1.0,0.0,1.0,123.884,True,True,True,False
null_calibration,5000,0.0,0.05,2,1,1.0,0.0,1.0,5000.0,True,True,True,False
optional_stopping,5000,0.0,0.05,2,1,1.0,0.0,1.0,5000.0,True,True,True,False
rare_mode_change,5000,0.4,0.05,2,1,1.0,0.0,1.0,218.992,True,True,True,False
reference_reuse,5000,0.0,0.05,2,1,1.0,0.0,1.0,5000.0,True,True,True,False
representation_disagreement,5000,0.4,0.05,2,3,1.0,0.0,1.0,253.58,True,True,True,False
tail_shift,5000,0.4,0.05,2,1,1.0,0.0,1.0,230.996,True,True,True,False
