ablation_id,interpolation,antialias,spatial_policy,pixel_normalization,feature_l2,metric_dtype,preprocessing_hash,registered_ablation_only,confirmatory_protocol_mutated,planning_only,claim_allowed
preprocess_000,bilinear,True,center_crop,extractor_default,True,float32,c6e5c8d09588d8b1c29e73a91e0c0254d4ae6ccca63c8d5b5390fd45dc0d8b18,True,False,True,False
preprocess_001,bilinear,True,center_crop,extractor_default,True,float64,e0e2938d45fe28771fedcc320d93dcdd15469dfe03b8f33904a3270edec736dc,True,False,True,False
preprocess_002,bilinear,True,center_crop,extractor_default,False,float32,09d16b349d6bafce90b69ce182668fff322c117fc5760f85295fe2120f8383b0,True,False,True,False
preprocess_003,bilinear,True,center_crop,extractor_default,False,float64,2add82e2f882fc7c50a2d8bb1c76d6cdd45322b78de32a60964854a392347ba2,True,False,True,False
preprocess_004,bilinear,True,center_crop,unit_interval,True,float32,b5b0491fe8c5ca3196b91fb39b6094d9e1e4e9ebe3c5e19308857882d4db5428,True,False,True,False
preprocess_005,bilinear,True,center_crop,unit_interval,True,float64,a2b00aaf97331ec630cea11c594b35ea413bca76b1007e54a143b8c4b475bbed,True,False,True,False
preprocess_006,bilinear,True,center_crop,unit_interval,False,float32,8ffc6fffee27ed67bf27b9f97c52b9b06f470dbc64343405a8d1c6905afd808a,True,False,True,False
preprocess_007,bilinear,True,center_crop,unit_interval,False,float64,8be8a8645b6eb79bd56c9b25aa0f930662582518aa12ce118fb3ef84819681ad,True,False,True,False
preprocess_008,bilinear,True,center_crop,minus_one_to_one,True,float32,d070a64d84cf08a6d8edf463af65bd9d7fa2ce5fb78a448759566a18cf96267e,True,False,True,False
preprocess_009,bilinear,True,center_crop,minus_one_to_one,True,float64,b87ee6380b4e0acf46a388075714fbfd3583f7bb2a3e6d48e8eb998cd8003c99,True,False,True,False
preprocess_010,bilinear,True,center_crop,minus_one_to_one,False,float32,64ac66a395d2181e1180662b2f869b391c7cd027e2ed3e2047b52024f653b083,True,False,True,False
preprocess_011,bilinear,True,center_crop,minus_one_to_one,False,float64,bf21f34c7f461756910be9e7bea703c2e2cad745ae11b201b29a91b0a02a6f3e,True,False,True,False
preprocess_012,bilinear,True,resize_only,extractor_default,True,float32,28518b417ef346c3182e03eaa685f5494857a52cd291a9bbe15e8bdb559240a5,True,False,True,False
preprocess_013,bilinear,True,resize_only,extractor_default,True,float64,49c795f367489963eb7b1f05482250987611472e352aefc481c43836fc4a0e4b,True,False,True,False
preprocess_014,bilinear,True,resize_only,extractor_default,False,float32,ea578a0cd9036d1090d16c7bc2e57368c29a00ba136588cf1ebb2d0acceadb73,True,False,True,False
preprocess_015,bilinear,True,resize_only,extractor_default,False,float64,eebadb4756e9a44eb85a7892c6e7bf61665d05a6cb1e57f2e7ba12fdff32cabd,True,False,True,False
preprocess_016,bilinear,True,resize_only,unit_interval,True,float32,4e7512294c3f29fe050aec1d1ca8a54d6c4ac2778bea456fb24dddba151d9c63,True,False,True,False
preprocess_017,bilinear,True,resize_only,unit_interval,True,float64,1e574259e958611fea3b1f075596371e0810fad418a5f25c620a5e3458a419f1,True,False,True,False
preprocess_018,bilinear,True,resize_only,unit_interval,False,float32,97ce08995d67bb5eca88da6ba0b38f0e9a5930dc7624132ce68da742fc719cee,True,False,True,False
preprocess_019,bilinear,True,resize_only,unit_interval,False,float64,a67114a0dc0812e74aedfe1765739d401f0cece706a8cde587155119d43cc045,True,False,True,False
preprocess_020,bilinear,True,resize_only,minus_one_to_one,True,float32,bc58fe08bcb682b2f32a349a0d1e9ffcdb92e7ab94c02ae2c39e46cdfb0d01c9,True,False,True,False
preprocess_021,bilinear,True,resize_only,minus_one_to_one,True,float64,7a705be6ea8476dbfda3ef2050f48ce18340cd4b8d2ff2797d71fabd32f9ec44,True,False,True,False
preprocess_022,bilinear,True,resize_only,minus_one_to_one,False,float32,e6556ddcb659ec0a36e88f009ec7cd27351254377495771c848d18ac01d59c54,True,False,True,False
preprocess_023,bilinear,True,resize_only,minus_one_to_one,False,float64,9de7af2c58b297e22152207080096a181593846785fb7150597491359e8dd67b,True,False,True,False
preprocess_024,bilinear,False,center_crop,extractor_default,True,float32,22a98801af9c314895f7bbf7ae2975a9cdf3f8cc4bb5e49322bd9651928c8e67,True,False,True,False
preprocess_025,bilinear,False,center_crop,extractor_default,True,float64,38e37b020938197f4df4aac226729056881b7e4c5f7c5cc1a832f8d0f6e63147,True,False,True,False
preprocess_026,bilinear,False,center_crop,extractor_default,False,float32,463a2c25abaace279d55ee9c6302259626dba2e7f48f2e0cccb9530dd5b439e3,True,False,True,False
preprocess_027,bilinear,False,center_crop,extractor_default,False,float64,b2b554d772fc648de8647e8854b9277de31c7e929678973b82aaecbf96cd4137,True,False,True,False
preprocess_028,bilinear,False,center_crop,unit_interval,True,float32,ae6980a2f77964cf5506d112e54a280bb1993aac17212d511bea0c15da883e91,True,False,True,False
preprocess_029,bilinear,False,center_crop,unit_interval,True,float64,1512762036d81995b6233996f0889d94ded9301baf6cea1d5cb588ae160e40ee,True,False,True,False
preprocess_030,bilinear,False,center_crop,unit_interval,False,float32,2b9a08b83e6cbc7bcfa0681589b333aba1fa58f24725e02d979d4718ce65b057,True,False,True,False
preprocess_031,bilinear,False,center_crop,unit_interval,False,float64,65b01cb928712b45439b29981b59f2559a961e6ebabcfde1e5489d037e7b8ee6,True,False,True,False
preprocess_032,bilinear,False,center_crop,minus_one_to_one,True,float32,b1313afcde510320c6a1ce3842b66d497d27d93280dde5fed9fcf34edc64f824,True,False,True,False
preprocess_033,bilinear,False,center_crop,minus_one_to_one,True,float64,89edb7045c9e689cb36fa8e584e63e8facbefcd233dd8bc7ca416a396a7e46c3,True,False,True,False
preprocess_034,bilinear,False,center_crop,minus_one_to_one,False,float32,7c5bbe0ed80e9578e4cf013fe4e70d91625558c9bf27a7c07349f30d930fedfb,True,False,True,False
preprocess_035,bilinear,False,center_crop,minus_one_to_one,False,float64,5ce3ee4b1b2a50cf3c9eea1a3b138a6ffa671391cede5f2e773147dd484f3a82,True,False,True,False
preprocess_036,bilinear,False,resize_only,extractor_default,True,float32,1f6efbac589c00c224907a537566c0f7795e92f739932a36aa7e6d35bcb2eda0,True,False,True,False
preprocess_037,bilinear,False,resize_only,extractor_default,True,float64,3b4df5372550dd28cbf33638ad368fde2751122adf4f510e8a1938d70284f0fc,True,False,True,False
preprocess_038,bilinear,False,resize_only,extractor_default,False,float32,d368e2576e774355642ae9f01b02b2fc734a0450d1c970f82296f82ff3bd6d26,True,False,True,False
preprocess_039,bilinear,False,resize_only,extractor_default,False,float64,76beedaaeef3c705c45273d2bb48043f635e7307f5e0bfcb3f403c8c4bd8a12b,True,False,True,False
preprocess_040,bilinear,False,resize_only,unit_interval,True,float32,df8a36f06f60d3cd0408887e547d316dfebc3483ea34ccbc33d2f36b9e4916af,True,False,True,False
preprocess_041,bilinear,False,resize_only,unit_interval,True,float64,ca32d201fc9a2e50a801a960272be8ee812c3241cc29a76d113c18c36fc0693c,True,False,True,False
preprocess_042,bilinear,False,resize_only,unit_interval,False,float32,31abf14bea5c806e277aa17f274b7d89ac5f894313f5dfff629f1eda3c328786,True,False,True,False
