comparison_id,study_tier,benchmark_family,comparison_taxonomy,model_a_source,model_b_source,reference_source,source_and_license_status,checkpoint_or_sample_status,independence_plan,primary_extractor,primary_kernel,bandwidth,cs_method,multiplicity_family,max_budget_plan,claim_capable_if_all_gates_pass,analysis_role,selection_rule,status,evidence_status,claim_allowed
C10_NULL_REF_SPLITS_01,"minimum","CIFAR-10","null_control_reference_split_vs_reference_split","held-out reference split A","held-out reference split B","disjoint held-out reference split R","verification_required","reference package missing","three prospectively frozen nonoverlapping row sets; no row reused within a stream or across A/B/R roles","TBD_REQUIRED_PRE_EXECUTION exact model revision and preprocessing","RBF on L2-normalized features","gamma=0.5 fixed before inspection","union-Hoeffding","F_CONTROL_NULL with Bonferroni","up to held-out reference capacity; planning_only",true,"type-I and null decidedness control","included regardless of observed values","blocked_reference_input","planning_only; not_empirical_evidence",false
C10_NULL_SAME_GOOGLE_01,"minimum","CIFAR-10","null_control_same_checkpoint_independent_seeds","google/ddpm-cifar10-32 seed pool A","google/ddpm-cifar10-32 disjoint seed pool B","held-out CIFAR-10 reference","license verification_required","real checkpoint load and generation not run","nonoverlapping independent generation seeds and disjoint reference pairs; no resume duplication","TBD_REQUIRED_PRE_EXECUTION exact model revision and preprocessing","RBF on L2-normalized features","gamma=0.5 fixed before inspection","union-Hoeffding","F_CONTROL_NULL with Bonferroni","1k then at most held-out reference capacity; planning_only",true,"same-model null control","included only if source/license/load preflight passes before feature inspection","blocked_checkpoint_and_reference","planning_only; not_empirical_evidence",false
C10_NULL_SAME_FRANK_01,"minimum","CIFAR-10","null_control_same_checkpoint_independent_seeds","FrankCCCCC/ddpm_ema_cifar10 seed pool A","FrankCCCCC/ddpm_ema_cifar10 disjoint seed pool B","held-out CIFAR-10 reference","license verification_required","real checkpoint load and generation not run","nonoverlapping independent generation seeds and disjoint reference pairs; no resume duplication","TBD_REQUIRED_PRE_EXECUTION exact model revision and preprocessing","RBF on L2-normalized features","gamma=0.5 fixed before inspection","union-Hoeffding","F_CONTROL_NULL with Bonferroni","1k then at most held-out reference capacity; planning_only",true,"same-model null control","included only if source/license/load preflight passes before feature inspection","blocked_checkpoint_and_reference","planning_only; not_empirical_evidence",false
C10_GAP_CORRUPT_SEVERE_01,"minimum","CIFAR-10","obvious_gap_control","independent uncorrupted reference-like rows","fixed severe-corruption transform on a different independent row set","third disjoint held-out reference set","reference and derivative-license verification_required","transform not yet frozen or executed","base rows are disjoint across all roles; corruption type and severity fixed before features","TBD_REQUIRED_PRE_EXECUTION exact model revision and preprocessing","RBF on L2-normalized features","gamma=0.5 fixed before inspection","union-Hoeffding","F_CONTROL_GAP with Bonferroni","limited by three-way held-out split; planning_only",true,"direction and obvious-gap sanity","transform selected from a predeclared non-result-based list","blocked_reference_and_transform_lock","planning_only; not_empirical_evidence",false
C10_GAP_CORRUPTION_LADDER_01,"minimum","CIFAR-10","intermediate_gap_control","fixed mild-corruption transform on independent rows","fixed moderate-corruption transform on different independent rows","third disjoint held-out reference set","reference and derivative-license verification_required","severity ladder not yet frozen or executed","no base image shared across A/B/R; every severity and RNG seed frozen before extraction","TBD_REQUIRED_PRE_EXECUTION exact model revision and preprocessing","RBF on L2-normalized features","gamma=0.5 fixed before inspection","union-Hoeffding","F_CONTROL_GAP with Bonferroni over every registered severity contrast","limited by three-way held-out split; planning_only",true,"effect-size and censoring calibration","all severity contrasts frozen before any certificate is viewed","blocked_reference_and_transform_lock","planning_only; not_empirical_evidence",false
C10_REAL_GOOGLE_VS_FRANK_01,"minimum","CIFAR-10","contestable_real_comparison","google/ddpm-cifar10-32","FrankCCCCC/ddpm_ema_cifar10","held-out CIFAR-10 reference","all source and checkpoint licenses verification_required","repository adapter metadata only; real loads and samples missing","independent model seeds; disjoint reference pairs; seeded order frozen before feature inspection","TBD_REQUIRED_PRE_EXECUTION exact model revision and preprocessing","RBF on L2-normalized features","gamma=0.5 fixed before inspection","union-Hoeffding","F_PRIMARY_CONTESTABLE global Bonferroni","1k then 10k images per distribution when reference capacity permits; 500 then 5k CS units at block size 1; planning_only",true,"primary real-model direction or right-censored unresolved outcome","pair declared from repository registry without seeing features or metric values","blocked_inputs","planning_only; not_empirical_evidence",false
C10_REAL_GOOGLE_VS_CFM_01,"minimum","CIFAR-10","contestable_real_comparison","google/ddpm-cifar10-32","FrankCCCCC/cfm-cifar10-32","held-out CIFAR-10 reference","all source and checkpoint licenses verification_required","repository adapter metadata only; real loads and samples missing","independent model seeds; disjoint reference pairs; seeded order frozen before feature inspection","TBD_REQUIRED_PRE_EXECUTION exact model revision and preprocessing","RBF on L2-normalized features","gamma=0.5 fixed before inspection","union-Hoeffding","F_PRIMARY_CONTESTABLE global Bonferroni","1k then 10k images per distribution when reference capacity permits; 500 then 5k CS units at block size 1; planning_only",true,"primary real-model direction or right-censored unresolved outcome","pair declared from repository registry without seeing features or metric values","blocked_inputs","planning_only; not_empirical_evidence",false
C10_REAL_FRANK_VS_CFM_01,"minimum","CIFAR-10","contestable_real_comparison","FrankCCCCC/ddpm_ema_cifar10","FrankCCCCC/cfm-cifar10-32","held-out CIFAR-10 reference","all source and checkpoint licenses verification_required","repository adapter metadata only; real loads and samples missing","independent model seeds; disjoint reference pairs; seeded order frozen before feature inspection","TBD_REQUIRED_PRE_EXECUTION exact model revision and preprocessing","RBF on L2-normalized features","gamma=0.5 fixed before inspection","union-Hoeffding","F_PRIMARY_CONTESTABLE global Bonferroni","1k then 10k images per distribution when reference capacity permits; 500 then 5k CS units at block size 1; planning_only",true,"primary real-model direction or right-censored unresolved outcome","pair declared from repository registry without seeing features or metric values","blocked_inputs","planning_only; not_empirical_evidence",false
C10_EXTRACTION_REPEAT_01,"minimum","CIFAR-10","protocol_reproducibility_control","same immutable image manifest extracted in batch schedule A","same immutable image manifest extracted in batch schedule B","not a directional certificate comparison","inherits accepted source","no real feature cache exists","intentional row reuse makes this a deterministic equality/reproduction check rather than an IID certificate stream","same locked extractor in both passes","exact feature equality or declared numeric tolerance","not applicable","not applicable","not a multiplicity-bearing directional test","full manifest; planning_only",false,"batching and shard-merge reproducibility","always run after cache creation; never interpret as model evidence","blocked_features","planning_only; not_empirical_evidence",false
C10_PROTOCOL_SENSITIVITY_01,"strong","CIFAR-10","protocol_sensitivity","same preregistered real pair under primary extractor/kernel","same pair under one frozen alternate extractor or gamma","same held-out reference lineage","all source and license facts verification_required","blocked until primary inputs exist","independent stream construction within each protocol; cross-protocol reuse permitted only because Bonferroni does not require cross-test independence","primary plus one exact alternate TBD_REQUIRED_PRE_EXECUTION","bounded RBF only","each positive finite gamma frozen before inspection","union-Hoeffding only","F_SENSITIVITY full Cartesian Bonferroni if directional; otherwise exploratory_no_claim","same underlying image budget; planning_only",true,"protocol dependence without choosing the favorable result","alternate specification frozen before any primary result is viewed","blocked_preexecution_decisions","planning_only; not_empirical_evidence",false
