sequence,phase,command,cwd,start_utc,end_utc,duration_seconds,exit_code,status,stdout_log,stderr_log,artifacts_created,artifacts_reused,blocker,claim_allowed
1,baseline_fetch,git fetch origin main,.,2026-08-12T12:47:48.757319Z,2026-08-12T12:47:49.615427Z,0.857509,0,PASS,reports/icml2027/final_closure/command_logs/0001_baseline_fetch.stdout.log,reports/icml2027/final_closure/command_logs/0001_baseline_fetch.stderr.log,,,,False
2,baseline_freeze,python3 scripts/icml2027/build_final_closure_baseline.py,.,2026-08-12T12:47:49.689484Z,2026-08-12T12:47:49.741562Z,0.051722,1,FAIL,reports/icml2027/final_closure/command_logs/0002_baseline_freeze.stdout.log,reports/icml2027/final_closure/command_logs/0002_baseline_freeze.stderr.log,"reports/icml2027/final_closure/CERTGEN_FINAL_CLOSURE_BASELINE.md,reports/icml2027/final_closure/CERTGEN_FINAL_CLOSURE_BASELINE.json",,,False
3,baseline_compileall,python3 -m compileall -q certgen scripts tests,.,2026-08-12T12:47:49.813644Z,2026-08-12T12:47:49.940487Z,0.126497,0,PASS,reports/icml2027/final_closure/command_logs/0003_baseline_compileall.stdout.log,reports/icml2027/final_closure/command_logs/0003_baseline_compileall.stderr.log,,,,False
4,baseline_imports,python3 -c 'import certgen; import certgen.icml2027; import certgen.icml2027.notebook_runtime; import certgen.icml2027.production_mmd; import certgen.metrics.streams',.,2026-08-12T12:47:50.010078Z,2026-08-12T12:47:50.311039Z,0.300549,0,PASS,reports/icml2027/final_closure/command_logs/0004_baseline_imports.stdout.log,reports/icml2027/final_closure/command_logs/0004_baseline_imports.stderr.log,,,,False
5,baseline_default_pytest,python3 -m pytest -q,.,2026-08-12T12:47:50.380943Z,2026-08-12T12:48:12.052215Z,21.670751,0,PASS,reports/icml2027/final_closure/command_logs/0005_baseline_default_pytest.stdout.log,reports/icml2027/final_closure/command_logs/0005_baseline_default_pytest.stderr.log,,,,False
6,baseline_freeze_retry,python3 scripts/icml2027/build_final_closure_baseline.py,.,2026-08-12T12:48:28.054714Z,2026-08-12T12:48:28.148823Z,0.093737,0,PASS,reports/icml2027/final_closure/command_logs/0006_baseline_freeze_retry.stdout.log,reports/icml2027/final_closure/command_logs/0006_baseline_freeze_retry.stderr.log,"reports/icml2027/final_closure/CERTGEN_FINAL_CLOSURE_BASELINE.md,reports/icml2027/final_closure/CERTGEN_FINAL_CLOSURE_BASELINE.json",,,False
7,baseline_full_marker_pytest,python3 -m pytest -q -m 'integration_audit or not integration_audit',.,2026-08-12T12:48:28.219306Z,2026-08-12T12:50:06.284455Z,98.063443,0,PASS,reports/icml2027/final_closure/command_logs/0007_baseline_full_marker_pytest.stdout.log,reports/icml2027/final_closure/command_logs/0007_baseline_full_marker_pytest.stderr.log,,,,False
8,baseline_four_integration_wrappers,python3 -m pytest -q -o addopts= tests/test_v2_audit.py::test_v2_audit_runs_and_writes_outputs tests/test_v3_docs_and_audit.py::test_v3_final_audit_runs tests/test_v4_audit.py::test_v4_final_audit_runs tests/test_v5_audit.py::test_v5_final_audit_runs,.,2026-08-12T12:50:13.254722Z,2026-08-12T12:51:31.072323Z,77.816023,0,PASS,reports/icml2027/final_closure/command_logs/0008_baseline_four_integration_wrappers.stdout.log,reports/icml2027/final_closure/command_logs/0008_baseline_four_integration_wrappers.stderr.log,,,,False
9,baseline_bootstrap_security,python3 -m pytest -q -o addopts= tests/test_final_execution_path_seal.py tests/test_universal_kaggle_discovery.py,.,2026-08-12T12:51:40.261067Z,2026-08-12T12:51:46.882296Z,6.620687,0,PASS,reports/icml2027/final_closure/command_logs/0009_baseline_bootstrap_security.stdout.log,reports/icml2027/final_closure/command_logs/0009_baseline_bootstrap_security.stderr.log,,,,False
10,baseline_diagnostic_bundle,python3 -m certgen kaggle validate-input artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip --json,.,2026-08-12T12:51:46.959438Z,2026-08-12T12:51:47.116588Z,0.156670,0,PASS,reports/icml2027/final_closure/command_logs/0010_baseline_diagnostic_bundle.stdout.log,reports/icml2027/final_closure/command_logs/0010_baseline_diagnostic_bundle.stderr.log,,,,False
11,baseline_preflight_bundle,python3 -m certgen kaggle validate-input artifacts/cvpr/kaggle_inputs/preflight/certgen_cvpr_preflight_input.zip --json,.,2026-08-12T12:51:47.192398Z,2026-08-12T12:51:47.362512Z,0.169647,0,PASS,reports/icml2027/final_closure/command_logs/0011_baseline_preflight_bundle.stdout.log,reports/icml2027/final_closure/command_logs/0011_baseline_preflight_bundle.stderr.log,,,,False
12,baseline_provenance,python3 -m certgen provenance verify --study artifacts/cvpr/study/cifar_integrity_minimal.yaml,.,2026-08-12T12:51:47.456675Z,2026-08-12T12:51:47.597591Z,0.140459,0,PASS,reports/icml2027/final_closure/command_logs/0012_baseline_provenance.stdout.log,reports/icml2027/final_closure/command_logs/0012_baseline_provenance.stderr.log,,,,False
13,baseline_replay,python3 -m certgen replay verify --study artifacts/cvpr/study/cifar_integrity_minimal.yaml,.,2026-08-12T12:51:47.679721Z,2026-08-12T12:51:47.821186Z,0.140972,0,PASS,reports/icml2027/final_closure/command_logs/0013_baseline_replay.stdout.log,reports/icml2027/final_closure/command_logs/0013_baseline_replay.stderr.log,,,,False
14,baseline_release,python3 -m certgen.cli.run_release_safety_scan,.,2026-08-12T12:51:47.901717Z,2026-08-12T12:51:48.027795Z,0.125394,0,PASS,reports/icml2027/final_closure/command_logs/0014_baseline_release.stdout.log,reports/icml2027/final_closure/command_logs/0014_baseline_release.stderr.log,,,,False
