status,sample_budget_per_distribution,paired_stream_units,effect_scaled_to_unit_support,standard_deviation_scaled_to_unit_support,union_hoeffding_radius_raw,effect_exceeds_anytime_radius_at_budget,normal_approximation_signal_to_noise_descriptive,synthetic_validation_only,not_real_generator_evidence,not_empirical_paper_evidence,claim_allowed
EXPECTED_RESOLUTION_PLANNING_ONLY,1000,500,0.01,0.05,0.773413637275324,False,4.472135954999579,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,1000,500,0.01,0.1,0.773413637275324,False,2.2360679774997894,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,1000,500,0.01,0.2,0.773413637275324,False,1.1180339887498947,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,1000,500,0.01,0.35,0.773413637275324,False,0.63887656499994,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,1000,500,0.025,0.05,0.773413637275324,False,11.180339887498949,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,1000,500,0.025,0.1,0.773413637275324,False,5.5901699437494745,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,1000,500,0.025,0.2,0.773413637275324,False,2.7950849718747373,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,1000,500,0.025,0.35,0.773413637275324,False,1.5971914124998503,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,1000,500,0.05,0.05,0.773413637275324,False,22.360679774997898,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,1000,500,0.05,0.1,0.773413637275324,False,11.180339887498949,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,1000,500,0.05,0.2,0.773413637275324,False,5.5901699437494745,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,1000,500,0.05,0.35,0.773413637275324,False,3.1943828249997006,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,1000,500,0.1,0.05,0.773413637275324,False,44.721359549995796,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,1000,500,0.1,0.1,0.773413637275324,False,22.360679774997898,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,1000,500,0.1,0.2,0.773413637275324,False,11.180339887498949,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,1000,500,0.1,0.35,0.773413637275324,False,6.388765649999401,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,1000,500,0.2,0.05,0.773413637275324,False,89.44271909999159,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,1000,500,0.2,0.1,0.773413637275324,False,44.721359549995796,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,1000,500,0.2,0.2,0.773413637275324,False,22.360679774997898,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,1000,500,0.2,0.35,0.773413637275324,False,12.777531299998802,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,2000,1000,0.01,0.05,0.5692430286458334,False,6.324555320336757,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,2000,1000,0.01,0.1,0.5692430286458334,False,3.1622776601683786,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,2000,1000,0.01,0.2,0.5692430286458334,False,1.5811388300841893,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,2000,1000,0.01,0.35,0.5692430286458334,False,0.9035079029052514,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,2000,1000,0.025,0.05,0.5692430286458334,False,15.811388300841898,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,2000,1000,0.025,0.1,0.5692430286458334,False,7.905694150420949,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,2000,1000,0.025,0.2,0.5692430286458334,False,3.9528470752104745,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,2000,1000,0.025,0.35,0.5692430286458334,False,2.258769757263129,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,2000,1000,0.05,0.05,0.5692430286458334,False,31.622776601683796,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,2000,1000,0.05,0.1,0.5692430286458334,False,15.811388300841898,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,2000,1000,0.05,0.2,0.5692430286458334,False,7.905694150420949,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,2000,1000,0.05,0.35,0.5692430286458334,False,4.517539514526258,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,2000,1000,0.1,0.05,0.5692430286458334,False,63.24555320336759,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,2000,1000,0.1,0.1,0.5692430286458334,False,31.622776601683796,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,2000,1000,0.1,0.2,0.5692430286458334,False,15.811388300841898,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,2000,1000,0.1,0.35,0.5692430286458334,False,9.035079029052516,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,2000,1000,0.2,0.05,0.5692430286458334,True,126.49110640673518,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,2000,1000,0.2,0.1,0.5692430286458334,True,63.24555320336759,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,2000,1000,0.2,0.2,0.5692430286458334,True,31.622776601683796,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,2000,1000,0.2,0.35,0.5692430286458334,True,18.070158058105033,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,5000,2500,0.01,0.05,0.3779016231821985,False,9.999999999999998,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,5000,2500,0.01,0.1,0.3779016231821985,False,4.999999999999999,True,True,True,False
EXPECTED_RESOLUTION_PLANNING_ONLY,5000,2500,0.01,0.2,0.3779016231821985,False,2.4999999999999996,True,True,True,False
