scenario,category,included_in_power_denominator,row_l2_invariance_reason,claim_allowed
identical_distribution_null,NULL,False,not_applicable,False
exact_sample_identical_null,NULL,False,not_applicable,False
tiny_mean_shift,HARD_ALTERNATIVE,True,not_applicable,False
obvious_mean_shift,EASY_ALTERNATIVE,True,not_applicable,False
near_tie,HARD_ALTERNATIVE,True,not_applicable,False
scale_shift,INVARIANCE_CONTROL,False,positive radial rescaling is erased exactly,False
variance_inflation,INVARIANCE_CONTROL,False,positive radial rescaling is erased exactly,False
covariance_perturbation,REPRESENTATION_SPECIFIC_ALTERNATIVE,True,not_applicable,False
symmetric_multimodal_shift,HARD_ALTERNATIVE,True,not_applicable,False
mode_dropping,HARD_ALTERNATIVE,True,not_applicable,False
rare_mode_shift,HARD_ALTERNATIVE,True,not_applicable,False
anisotropy,REPRESENTATION_SPECIFIC_ALTERNATIVE,True,not_applicable,False
heavy_tails,HARD_ALTERNATIVE,True,not_applicable,False
mixture_alternative,HARD_ALTERNATIVE,True,not_applicable,False
contamination_1pct,HARD_ALTERNATIVE,True,not_applicable,False
contamination_2pct,HARD_ALTERNATIVE,True,not_applicable,False
contamination_5pct,HARD_ALTERNATIVE,True,not_applicable,False
contamination_10pct,EASY_ALTERNATIVE,True,not_applicable,False
low_rank_manifold_shift,REPRESENTATION_SPECIFIC_ALTERNATIVE,True,not_applicable,False
sparse_high_dimensional_shift,HARD_ALTERNATIVE,True,not_applicable,False
dense_weak_high_dimensional_shift,HARD_ALTERNATIVE,True,not_applicable,False
finite_reference_with_replacement,REFERENCE_DESIGN_STRESS,False,not_applicable,False
declared_reference_reuse,REFERENCE_DESIGN_STRESS,False,not_applicable,False
