scenario,category,included_in_power_denominator,runs,correct_resolutions,power,unresolved_fraction,mean_paired_mmd_effect,between_run_effect_std,standardized_effect_descriptive,terminal_cs_radius,fixed_n_hoeffding_required_stream_units_approx,claim_allowed,utility_gate
identical_distribution_null,NULL,False,42,42,1.0,1.0,0.004160618808086988,0.022594864613696454,0.18414001939028762,0.27639731927408734,3835758,False,
exact_sample_identical_null,NULL,False,4,4,1.0,1.0,0.0,0.0,,0.27639731927408734,,False,
tiny_mean_shift,HARD_ALTERNATIVE,True,4,0,0.0,1.0,7.490266596575945e-05,0.0012303845367497145,0.06087744418800038,0.27639731927408734,11835113235,False,
obvious_mean_shift,EASY_ALTERNATIVE,True,4,2,0.5,0.5,-0.5943098842357694,0.001552005758407273,-382.9302056492836,0.27639731927408734,188,False,
near_tie,HARD_ALTERNATIVE,True,4,0,0.0,1.0,0.00035670658393081124,0.0012521203254599338,0.2848820330424589,0.27639731927408734,521848835,False,
scale_shift,INVARIANCE_CONTROL,False,4,0,0.0,1.0,-0.0012593092801862161,0.0034848565937205594,-0.361366169975371,0.27639731927408734,41869923,False,
variance_inflation,INVARIANCE_CONTROL,False,4,0,0.0,1.0,0.0016378283887444765,0.004186782120425734,0.39119026059515455,0.27639731927408734,24753134,False,
covariance_perturbation,REPRESENTATION_SPECIFIC_ALTERNATIVE,True,4,0,0.0,1.0,0.0020561468828574647,0.004764783479066861,0.4315299723252361,0.27639731927408734,15705751,False,
symmetric_multimodal_shift,HARD_ALTERNATIVE,True,4,0,0.0,1.0,-0.03708994643303443,0.012248488137642672,-3.0281244522781336,0.27639731927408734,48268,False,
mode_dropping,HARD_ALTERNATIVE,True,4,0,0.0,1.0,-0.06265438016530037,0.010237388823651675,-6.120152437753318,0.27639731927408734,16915,False,
rare_mode_shift,HARD_ALTERNATIVE,True,4,0,0.0,1.0,-0.007311162803609626,0.0024284435026142963,-3.010637387997262,0.27639731927408734,1242208,False,
anisotropy,REPRESENTATION_SPECIFIC_ALTERNATIVE,True,4,0,0.0,1.0,-0.0005467432591444964,0.0014959810984757846,-0.3654747106775337,0.27639731927408734,222126358,False,
heavy_tails,HARD_ALTERNATIVE,True,4,0,0.0,1.0,0.0003578800403157361,0.0025803646625550303,0.13869359068084963,0.27639731927408734,518432255,False,
mixture_alternative,HARD_ALTERNATIVE,True,4,0,0.0,1.0,-0.033826621006712895,0.0038634738224133467,-8.755493776215845,0.27639731927408734,58030,False,
contamination_1pct,HARD_ALTERNATIVE,True,4,0,0.0,1.0,0.0002671103697628128,0.0006079207614617232,0.4393835293937909,0.27639731927408734,930648050,False,
contamination_2pct,HARD_ALTERNATIVE,True,4,0,0.0,1.0,0.0013631301859180157,0.004243101247646818,0.32125799182237147,0.27639731927408734,35734878,False,
contamination_5pct,HARD_ALTERNATIVE,True,4,0,0.0,1.0,0.002345611714758535,0.0059650615721986745,0.39322506337415075,0.27639731927408734,12068540,False,
contamination_10pct,EASY_ALTERNATIVE,True,4,0,0.0,1.0,-2.65319343605645e-05,0.0022393959713245845,-0.01184780838239656,0.27639731927408734,94325505265,False,
low_rank_manifold_shift,REPRESENTATION_SPECIFIC_ALTERNATIVE,True,4,0,0.0,1.0,-0.07519824243192458,0.01692095675384084,-4.444089274967004,0.27639731927408734,11743,False,
sparse_high_dimensional_shift,HARD_ALTERNATIVE,True,4,0,0.0,1.0,-0.0021426029143055284,0.0021981715242835507,-0.9747205305117699,0.27639731927408734,14463840,False,
dense_weak_high_dimensional_shift,HARD_ALTERNATIVE,True,4,0,0.0,1.0,-0.001113549842610272,0.0010948781387474526,-1.017053682233696,0.27639731927408734,53548542,False,
finite_reference_with_replacement,REFERENCE_DESIGN_STRESS,False,4,4,1.0,1.0,0.0025589789093043262,0.00499357667025566,0.5124541142117505,0.27639731927408734,10139898,False,
declared_reference_reuse,REFERENCE_DESIGN_STRESS,False,4,4,1.0,1.0,0.0007276027846067881,0.001202428933700249,0.6051108420750716,0.27639731927408734,125423312,False,
ALL_TRUE_ALTERNATIVES,EXPECTED_RESOLUTION_PLANNING_ONLY,True,68,2,0.029411764705882353,0.9705882352941176,,,,,,False,RED
