scenario,dimension,expected_mmd_direction,c2st_centroid_reference_vs_a,c2st_centroid_reference_vs_b,c2st_logistic_reference_vs_a,c2st_logistic_reference_vs_b,c2st_logistic_p_reference_vs_a,c2st_logistic_p_reference_vs_b,folds,permutations,normalization,synthetic_validation_only,not_real_generator_evidence,not_empirical_paper_evidence,claim_allowed
identical_distribution_null,64,UNRESOLVED,0.49583333333333335,0.48333333333333334,0.48333333333333334,0.5125,1.0,0.5,5,9,StandardScaler_fit_inside_training_fold,True,True,True,False
obvious_mean_shift,64,A_BETTER,0.5,1.0,0.4583333333333333,1.0,0.5,0.1,5,9,StandardScaler_fit_inside_training_fold,True,True,True,False
covariance_perturbation,64,A_BETTER,0.5041666666666667,0.525,0.4875,0.49166666666666664,0.5,0.8,5,9,StandardScaler_fit_inside_training_fold,True,True,True,False
symmetric_multimodal_shift,64,A_BETTER,0.5583333333333333,0.5458333333333333,0.4875,0.4666666666666667,0.5,0.9,5,9,StandardScaler_fit_inside_training_fold,True,True,True,False
mode_dropping,64,A_BETTER,0.44166666666666665,0.4666666666666667,0.5041666666666667,0.45,0.6,0.9,5,9,StandardScaler_fit_inside_training_fold,True,True,True,False
heavy_tails,64,A_BETTER,0.5458333333333333,0.5333333333333333,0.475,0.48333333333333334,0.6,0.8,5,9,StandardScaler_fit_inside_training_fold,True,True,True,False
identical_distribution_null,768,UNRESOLVED,0.49166666666666664,0.45,0.5541666666666667,0.45416666666666666,0.2,1.0,5,9,StandardScaler_fit_inside_training_fold,True,True,True,False
obvious_mean_shift,768,A_BETTER,0.55,1.0,0.5125,1.0,0.2,0.1,5,9,StandardScaler_fit_inside_training_fold,True,True,True,False
covariance_perturbation,768,A_BETTER,0.4166666666666667,0.48333333333333334,0.42916666666666664,0.49166666666666664,1.0,0.9,5,9,StandardScaler_fit_inside_training_fold,True,True,True,False
symmetric_multimodal_shift,768,A_BETTER,0.42083333333333334,0.45416666666666666,0.45,0.5083333333333333,0.8,0.3,5,9,StandardScaler_fit_inside_training_fold,True,True,True,False
mode_dropping,768,A_BETTER,0.5791666666666667,0.7708333333333334,0.5666666666666667,0.45416666666666666,0.2,1.0,5,9,StandardScaler_fit_inside_training_fold,True,True,True,False
heavy_tails,768,A_BETTER,0.475,0.5375,0.45416666666666666,0.5875,0.8,0.1,5,9,StandardScaler_fit_inside_training_fold,True,True,True,False
