work,problem,metric/statistic,fixed-sample or sequential,optional-stopping-valid,multiplicity support,ranking support,samples-to-decision,generative-model focus,released implementation,overlap with CertGen,remaining CertGen novelty
"Gretton et al. (2012), A Kernel Two-Sample Test","test whether two distributions differ","MMD; quadratic and linear-time estimators",fixed-sample,no,no,no,no,no,"reference code linked by JMLR; not audited here","kernel two-sample estimand and linear-time disjoint pairs","no statistical-method novelty; CertGen can add a generative-comparison audit contract"
"Binkowski et al. (2018), Demystifying MMD GANs","train and evaluate generators with MMD; introduce KID usage","polynomial-kernel MMD/KID",fixed-sample,no,no,no,no,yes,"paper/code availability not audited here","generative evaluation with MMD and finite-sample bias discussion","CertGen cannot claim KID novelty and does not certify polynomial KID"
"Chong and Forsyth (2020), Effectively Unbiased FID and Inception Score","diagnose model-dependent finite-sample FID and IS bias","FID and IS extrapolation",fixed-sample,no,no,no,no,yes,yes,"sample-size sensitivity of generative metrics","CertGen can study decision uncertainty but FID remains descriptive"
"Parmar et al. (2022), On Aliased Resizing and Surprising Subtleties in GAN Evaluation","measure preprocessing-induced metric variation","FID KID IS and resizing/compression sensitivity",fixed-sample,no,no,no,no,yes,yes,"preprocessing can alter evaluation conclusions","CertGen adds a prospective preprocessing lock; no novelty in discovering sensitivity"
"Jayasumana et al. (2024), Rethinking FID","replace FID with CLIP-feature Gaussian-RBF MMD","CMMD",fixed-sample,no,no,no,no,yes,yes,"bounded RBF MMD on normalized semantic features","CertGen may add time-uniform comparison only after exact extractor/kernel protocol is locked"
"Stein et al. (2023), Exposing Flaws of Generative Model Evaluation Metrics","audit metric failures and diffusion-model bias","Fréchet distance over DINOv2 features and related metrics",fixed-sample,no,no,partial,no,yes,yes,"feature choice and metric protocol materially alter generative-model conclusions","FD-DINOv2 remains descriptive in CertGen; exact protocol reproduction and a prospective uncertainty audit are still required"
"Howard et al. (2021), Time-uniform nonparametric nonasymptotic confidence sequences","time-uniform estimation","confidence sequences and martingale concentration",sequential,yes,no,no,yes,no,yes,"optional-stopping-safe intervals","no CS theory novelty; CertGen specializes a conservative bound to an MMD-difference stream"
"Waudby-Smith and Ramdas (2023), Estimating Means of Bounded Random Variables by Betting","efficient bounded-mean confidence sequences","betting martingales and confidence sequences",sequential,yes,no,no,yes,no,yes,"bounded-mean betting inference","current finite-grid CertGen inversion still has an unresolved continuum proof obligation"
"Shekhar and Ramdas (2024), Nonparametric Two-Sample Testing by Betting","sequential nonparametric two-sample testing","predictable bets based on IPMs and kernel MMD",sequential,yes,no,no,yes,no,"paper implementation not audited here","anytime-valid kernel two-sample decisions and expected sample size","substantial method overlap; remaining novelty is generative audit design and reproducibility gates"
"Podkopaev et al. (2023), Sequential Kernelized Independence Testing","sequential independence testing","kernelized betting e-process",sequential,yes,no,no,yes,no,yes,"kernel betting under continuous monitoring","not the same null but narrows claims of generic kernel sequential novelty"
"Wang and Ramdas (2022), False Discovery Rate Control with E-values","multiple testing under arbitrary dependence","e-BH on valid e-values",fixed family of e-values,"yes for valid stopped e-values",yes,no,no,no,yes,"candidate multiplicity layer","e-BH algorithm is not CertGen novelty and current point-null e-values do not certify direction"
"Blum and Hardt (2015), The Ladder","reliable adaptive leaderboards","adaptive holdout/leaderboard accuracy",sequentially adaptive,yes in its own model,no,leaderboard accuracy,no,no,yes,"evaluation under repeated adaptive access","different threat model; useful guard against claiming leaderboard adaptivity is new"
"Bouthillier et al. (2021), Accounting for Variance in Machine Learning Benchmarks","benchmark variance and unreliable improvement claims","variance decomposition and comparison criteria",fixed-sample,no,"discusses comparison correction",partial,no,no,yes,"uncertainty in benchmark comparisons","CertGen focuses on sample-stream monitoring for generative discrepancies"
"Agarwal et al. (2021), Deep RL at the Edge of the Statistical Precipice","uncertain rankings from few runs","intervals profiles and robust aggregates",fixed-sample,no,"simultaneous evaluation considerations",partial,no,no,yes,"point estimates can disagree with uncertainty-aware conclusions","domain-specific application is different; audit framing is not unique"
"Zhao et al. (2024), FlashEval","reduce text-to-image evaluation cost","learned/selected evaluation subset",fixed-sample,no,no,no,"yes indirectly",yes,yes,"sample-efficient generative evaluation","CertGen targets inferential validity rather than subset selection; comparison is required for compute-savings claims"
"Lucic et al. (2018), Are GANs Created Equal?","systematic fair comparison of GANs","multiple metrics random restarts and tuning",fixed-sample,no,no,partial,no,yes,yes,"neutral generative-model comparison audit","CertGen may add prospective time-uniform directional decisions if real breadth is delivered"
"Gao, Sun, and Su (2025), Statistical Inference for Generative Model Comparison","uncertainty-quantified relative generative-model comparison","relative KL score with unbiased estimator and asymptotic/Edgeworth inference",fixed-sample,no,"multiple-model extension stated but multiplicity protocol not the focus",no,no,yes,"paper reports image and text experiments; code status not audited","directly overlaps the problem statement, relative gap estimand, statistical direction, CIFAR-10, and real generative evaluation","remaining delta is optional-stopping-safe bounded-kernel inference for sample-only models, preregistered families, partial ranking, and a decidedness audit"
